146,中考满分作文大全（修订版）,978-7-5427-4309-1,18,9999,机械工业出版社,孔立新　编
147,高中古诗文译注与拓展（高三）,978-7-5427-4372-5,16,9999,机械工业出版社,李友舜　编著
148,中学生考场作文一点通,978-7-5427-4369-5,18,9999,机械工业出版社,孔立新　编
149,快乐学语文,978-7-5427-4331-2,12,9999,机械工业出版社,金哲民　著
150,高中专项训练新设计：阅读理解.高考,978-7-5427-4324-4,16.5,9999,机械工业出版社,陈占勇　李保卫　主编
151,高考专项训练新设计：语法,978-7-5427-4305-3,16.5,9999,机械工业出版社,陈占勇　李保卫　主编
152,高中专项训练新设计：完形填空.高考,978-7-5427-4349-7,16.5,9999,机械工业出版社,陈占勇　李保卫　主编
153,高考专项训练新设计：短文改错,978-7-5427-4313-8,16.5,9999,机械工业出版社,陈占勇　主编
154,高考专项训练新设计：阅读理解.高二,978-7-5427-4316-9,15.5,9999,机械工业出版社,陈占勇　李保卫　主编
155,高中专项训练新设计：完形填空.高二,978-7-5427-4348-0,15.5,9999,机械工业出版社,陈占勇　李保卫　主编
156,高中专项训练新设计：完形填空.高一,978-7-5427-4347-3,15.5,9999,机械工业出版社,陈占勇　李保卫　主编
157,中学生主题作文一点通,978-7-5427-4373-2,18,9999,机械工业出版社,孔立新编著
158,初中英语语法新题型,978-7-5427-4409-8,20,9999,机械工业出版社,文奕　编著
159,小学数学拓展训练（一年级）,978-7-5427-4402-9,18,9999,机械工业出版社,柴常龙主编
160,小学数学拓展训练（二年级）,978-7-5427-4403-6,18,9999,机械工业出版社,柴常龙主编
161,小学生名校作文全程指导,978-7-5427-4445-6,22.8,9999,机械工业出版社,盛娟　主编
162,小学生创新作文全程指导,978-7-5427-4437-1,22.8,9999,机械工业出版社,盛娟　主编
163,小学生分类作文全程指导,978-7-5427-4443-2,22.8,9999,机械工业出版社,盛娟　主编
164,小学生满分作文全程指导,978-7-5427-4436-4,22.8,9999,机械工业出版社,盛娟　主编
165,初中生考场作文全程指导,978-7-5427-4432-6,22.8,9999,机械工业出版社,盛娟　主编
166,初中生分类作文全程指导,978-7-5427-4431-9,22.8,9999,机械工业出版社,盛娟　主编
167,高中数学一点通秘笈&#8226;知识点贯通 &#8226;题典,978-7-5427-4405-0,42,9999,机械工业出版社,李正兴　著
168,怎样写小学生作文（限字200）,978-7-5427-4499-9,14.8,9999,机械工业出版社,刘弢　吕春昕主编
169,高中数学一点通秘笈：应试精练,978-7-5427-4497-5,29,9999,机械工业出版社,李正兴　著
170,怎样写小学生作文（限字300）,978-7-5427-4500-2,14.8,9999,机械工业出版社,刘弢　吕春昕主编
171,怎样写小学生作文（限字400）,978-7-5427-4501-9,14.8,9999,机械工业出版社,刘弢　吕春昕主编
172,高中物理解题宝典&考点解密,978-7-5427-4406-7,29,9999,机械工业出版社,陆永刚　主编
173,高中化学解题宝典&考点解密,978-7-5427-4498-2,29,9999,机械工业出版社,彭嘉全　主编
174,初中生最新分类作文阳光宝典,978-7-5427-3776-2,22,9999,机械工业出版社,卓文
175,高中生话题作文阳光宝典,978-7-5427-3764-9,22,9999,机械工业出版社,王淑英主编
176,初中生最新材料作文阳光宝典,978-7-5427-3810-3,22,9999,机械工业出版社,卓文
177,初中生实用写作阳光宝典,978-7-5427-3813-4,22,9999,机械工业出版社,王英淑
178,初中生考场满分作文阳光宝典,978-7-5427-3828-8,22,9999,机械工业出版社,王淑英主编
179,初中生最新话题作文阳光宝典,978-7-5427-3786-1,22,9999,机械工业出版社,王淑英主编
180,初中生话题作文阳光宝典,978-7-5427-3816-5,22,9999,机械工业出版社,王淑英主编
181,中学生国内国际作文竞赛大奖精粹,978-7-5427-3261-3,16.8,9999,机械工业出版社,马丽静  总主编
182,初中生考场满分作文精粹,978-7-5427-3260-6,18,9999,机械工业出版社,马丽静  总主编
183,中学生好词妙句精彩段,978-7-5427-2980-4,28,9999,机械工业出版社,陆文忠  编写
184,新高考作文满分绝招大全,7-5427-3365-6,20,9999,机械工业出版社,沈士军  主编
185,新课标高中文言文精解与训练,7-5427-3575-6,25,9999,机械工业出版社,朱福生  主编
186,新课标初中文言文精解与训练,978-7-5427-3549-2,20,9999,机械工业出版社,朱福生  主编
187,高中古诗文译注与拓展（高一）,978-7-5427-3714-4,16,9999,机械工业出版社,李文舜
188,高考语文开放性试题导与练,978-7-5427-3612-3,15,9999,机械工业出版社,李友舜编著
189,高考作文10大亮点透视,7-5427-3252-8,15,9999,机械工业出版社,李友舜  等主编
190,高中化学思维方法,7-5427-2522-X,14.5,9999,机械工业出版社,吴峥 主编
191,高中物理思维方法(下),978-7-5427-2542-4,7,9999,机械工业出版社,张越
192,高中数学思维方法(下),7-5427-2541-6,13,9999,机械工业出版社,康士凯
193,初中化学思维方法,7-5427-2523-8,13.5,9999,机械工业出版社,袁孝凤  主编
194,初中数学思维方法,7-5427-2521-1,16,9999,机械工业出版社,周继光  主编
195,新课标高中化学解题方法一点通（双色）,978-7-5427-3818-9,22,9999,机械工业出版社,钱秋萍主编
196,新课标高中物理解题方法一点通（双色）,978-7-5427-3793-9,26,9999,机械工业出版社,陆永刚
197,新课标高中数学解题方法一点通（双色）,978-7-5427-3767-0,26,9999,机械工业出版社,梁开华主编
198,新课标初中化学解题方法一点通（双色）,978-7-5427-3814-1,25,9999,机械工业出版社,钱秋萍主编
199,新课标初中物理解题方法一点通（双色）,978-7-5427-3803-5,12,9999,机械工业出版社,严城主编
200,新课标初中数学解题方法一点通（双色）,978-7-5427-3770-0,26,9999,机械工业出版社,胡军主编
201,新课标高中化学解题思维方法（双色）,978-7-5427-3719-9,16,9999,机械工业出版社,孙元清总主编
202,新课标高中物理解题思维方法（双色）,978-7-5427-3718-2,15,9999,机械工业出版社,孙元清总主编
203,新课标高中数学解题思维方法（双色）,978-7-5427-3717-5,25,9999,机械工业出版社,孙元清总主编
204,新课标初中化学解题思维方法（双色）,978-7-5427-3722-9,16,9999,机械工业出版社,孙元清主编
205,新课标初中物理解题思维方法（双色）,978-7-5427-3720-5,20,9999,机械工业出版社,孙元清总主编
206,新课标初中数学解题思维方法（双色）,978-7-5427-3721-2,20,9999,机械工业出版社,孙元清主编
207,新编初中活用理科手册（双色）,978-7-5427-3731-1,22,9999,机械工业出版社,重点中学教师
208,新编高中活用理科手册,978-7-5427-3732-8,30,9999,机械工业出版社,孙元清
209,高中数学解题宝典及考点解密,978-7-5427-3943-8,35,9999,机械工业出版社,李正兴著
